ROWNUM;NAME;ADDRESS;NAME_PARK;DOP_INF;NAME_WF;ZONA;STATUS;USLOVIE;GLOBALID;X_WGS84;Y_WGS84;
33;"Wi-Fi точка № 1 в парке «Кузьминки»";"Кузьминский парк, дом 1, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788521";"37,76567011";"55,69775746";
34;"Wi-Fi точка № 2 в парке «Кузьминки»";"Кузьминский парк, дом 1, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788522";"37,76639145";"55,69709049";
35;"Wi-Fi точка № 3 в парке «Кузьминки»";"Кузьминский парк, дом 1, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788523";"37,76691403";"55,69659031";
36;"Wi-Fi точка № 4 в парке «Кузьминки»";"Кузьминский парк, дом 1, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788524";"37,76932335";"55,69511166";
37;"Wi-Fi точка № 5 в парке «Кузьминки»";"Кузьминский парк, дом 1, строение 2";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788525";"37,76900453";"55,69463706";
38;"Wi-Fi точка № 1 в парке «Люблино»";"Тихая улица, дом 23";"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788526";"37,74208807";"55,68766866";
39;"Wi-Fi точка № 1 в парке «Северное Тушино»";"улица Свободы, дом 56";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788527";"37,44969876";"55,85936969";
40;"Wi-Fi точка № 5 в парке «Северное Тушино»";"улица Свободы, дом 56";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788528";"37,4508831";"55,85839586";
41;"Wi-Fi точка № 2 в парке «Северное Тушино»";"улица Свободы, дом 56";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788529";"37,44986553";"55,8610867";
42;"Wi-Fi точка № 3 в парке «Северное Тушино»";"улица Свободы, дом 56";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788530";"37,45226345";"55,86112331";
